ens,unet,fold,Nummer,mean,count,Neun_Area,Kondition,Group,Area,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1026,0.17274187297737129,159,487431,Ext,0,PVT,0.00032620001600226496,0.00046799313248051597,0.2015110815329931,0.6970188093857247,0.8572326229567108
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1027,0.166224945365901,158,434768,Ext,0,PVT,0.00036341221065027784,0.00046799313248051597,0.2015110815329931,0.7765332126223194,0.8248923290041755
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1028,0.16520656335354336,122,411901,Ext,0,PVT,0.0002961876761649037,0.00046799313248051597,0.2015110815329931,0.6328889370555772,0.8198386019108053
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1029,0.15032913206249246,24,449586,Ext,0,PVT,5.33824451829016e-05,0.00046799313248051597,0.2015110815329931,0.11406672764610297,0.7460092562595835
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1030,0.1502716728996854,38,339907,Ext,0,PVT,0.00011179528518094655,0.00046799313248051597,0.2015110815329931,0.2388823198930188,0.7457241148054761
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1031,0.21958642342022086,298,442412,Ret,1,PVT,0.0006735802826324783,0.00046799313248051597,0.2015110815329931,1.4392952286762917,1.0896989969470652
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1032,0.21358530164547876,259,412109,Ret,1,PVT,0.0006284745055313036,0.00046799313248051597,0.2015110815329931,1.3429139487585728,1.059918392679108
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1033,0.19660295702344124,297,511700,Ret,1,PVT,0.0005804182137971467,0.00046799313248051597,0.2015110815329931,1.240228057879271,0.9756434014833658
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1034,0.19829618517155378,359,641083,Ret,1,PVT,0.0005599898921044545,0.00046799313248051597,0.2015110815329931,1.1965771573106763,0.9840460567380115
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1035,0.19936342726693887,328,553625,Ret,1,PVT,0.0005924587943102281,0.00046799313248051597,0.2015110815329931,1.2659561715574832,0.9893422522984048
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1036,0.21473042361785794,299,471379,Ret,1,PVT,0.0006343091228077619,0.00046799313248051597,0.2015110815329931,1.3553812626388704,1.065601067615234
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1037,0.23723341930581912,318,476173,Ext,0,PVT,0.0006678245091594862,0.00046799313248051597,0.2015110815329931,1.4269963869337117,1.17727232418718
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1038,0.22808870292122713,395,450011,Ext,0,PVT,0.0008777563215121408,0.00046799313248051597,0.2015110815329931,1.875575218080117,1.1318916120445839
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1039,0.2841136209405625,428,516728,Ext,0,PVT,0.0008282887708813922,0.00046799313248051597,0.2015110815329931,1.7698737724871987,1.4099156174398526
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1040,0.20768932821876834,316,385068,Ext,0,PVT,0.0008206342775821413,0.00046799313248051597,0.2015110815329931,1.7535177775633426,1.0306595877446258
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1041,0.2388933278967873,229,418636,Ext,0,PVT,0.0005470145902406864,0.00046799313248051597,0.2015110815329931,1.1688517464804045,1.185509630931506
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1042,0.23135597258136908,141,473639,Ext,0,PVT,0.0002976950800081919,0.00046799313248051597,0.2015110815329931,0.6361099327041639,1.148105458128314
ens_f27c,f27c_sc_cyc_mue_cFOS_staple_4.0021.h5,fold_4,1043,0.26479231252486424,420,466784,Ret,1,PVT,0.0008997737711661068,0.00046799313248051597,0.2015110815329931,1.9226217410435338,1.3140335038175566
