subarea,ens,unet,fold,type,grp_mean_1,grp_mean_2,grp_mean_3,grp_median_1,grp_median_2,grp_median_3,grp_std_1,grp_std_2,grp_std_3,anova_ok,U_kwa_all,eta^2_kwa_all,p_kwa_all,kwa_all,c_kwa_all,eta^2_aov_all,p_aov_all,aov_all,c_aov_all,U_mwu1_vs_2,eta^2_mwu1_vs_2,p_mwu1_vs_2,c_mwu1_vs_2,c0.01_mwu1_vs_2,c0.001_mwu1_vs_2,mwu1_vs_2,eta^2_aov1_vs_2,p_aov1_vs_2,c_aov1_vs_2,aov1_vs_2,U_mwu1_vs_3,eta^2_mwu1_vs_3,p_mwu1_vs_3,c_mwu1_vs_3,c0.01_mwu1_vs_3,c0.001_mwu1_vs_3,mwu1_vs_3,eta^2_aov1_vs_3,p_aov1_vs_3,c_aov1_vs_3,aov1_vs_3,U_mwu2_vs_3,eta^2_mwu2_vs_3,p_mwu2_vs_3,c_mwu2_vs_3,c0.01_mwu2_vs_3,c0.001_mwu2_vs_3,mwu2_vs_3,eta^2_aov2_vs_3,p_aov2_vs_3,c_aov2_vs_3,aov2_vs_3,ens_clean,valid,models_clean,initialization
BLA,ens_p27a,p27a_sc_cyc_inns_02_cFOS_staple_1.0024.h5,1,norm_cfos_per_area,0.9999999999999997,2.0397035086112343,1.3787475341109743,1.028884575076025,2.0373109002257306,1.1379072070254048,0.32056041467936586,0.2289597387318689,0.6024851282386999,False,15.197538461538471,0.5998881118881123,0.0005010677528620717,1,0.18143020668672633,0.658,7.447764699131124e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.795,1.3335172132737115e-07,0.2789930525945598,2,13.0,0.14399999999999993,0.15899590887730153,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.167,0.1298292751984636,0.367094137707543,0,41.0,0.25599999999999995,0.05764939242959465,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.431,0.007866713942229321,0.367094137707543,2,inns2_consensus4,yes,model1,fine-tuned
BLA,ens_p27a,p27a_sc_cyc_inns_02_cFOS_staple_2.0021.h5,2,norm_cfos_per_area,1.0000000000000002,1.8636758418694064,1.421307804127361,0.9830233592270372,1.8268893699241227,1.387066314784166,0.28881002724229016,0.2647918242206309,0.4485135613639731,True,15.845538461538467,0.6293426573426576,0.0003623973737062171,1,0.18143020668672633,0.63,1.7550164813902197e-05,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.73,1.6440840573427834e-06,0.2789930525945598,2,10.0,0.22499999999999992,0.07575268761638222,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.276,0.04450655639684161,0.367094137707543,0,41.0,0.25599999999999995,0.05764939242959465,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.312,0.03031238148563255,0.367094137707543,0,inns2_consensus4,yes,model2,fine-tuned
BLA,ens_p27a,p27a_sc_cyc_inns_02_cFOS_staple_3.0027.h5,3,norm_cfos_per_area,0.9999999999999997,2.1747523723492206,1.4863378781608674,1.029511095688536,2.2491101807812854,1.3495091385999392,0.33707557350194933,0.25355591316739623,0.6130124960950393,False,15.956307692307703,0.6343776223776229,0.00034287183272487025,1,0.18143020668672633,0.691,2.454814247375964e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.812,6.07090759774594e-08,0.2789930525945598,2,12.0,0.16899999999999996,0.12578642463894,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.238,0.06513110521719487,0.367094137707543,0,43.0,0.32400000000000007,0.032088733978231275,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.431,0.007808050582602767,0.367094137707543,2,inns2_consensus4,yes,model3,fine-tuned
BLA,ens_p27a,p27a_sc_cyc_inns_02_cFOS_staple_4.0027.h5,4,norm_cfos_per_area,1.0000000000000002,2.0637174324928913,1.5102411669643905,1.013000292393537,2.0881169454474544,1.4456655199222541,0.2792316936868205,0.2640438475653151,0.5046860881758857,True,16.57476923076925,0.6624895104895113,0.000251671821355804,1,0.18143020668672633,0.707,1.37835240610733e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.81,6.652985430013525e-08,0.2789930525945598,2,8.0,0.2889999999999999,0.043297465779303324,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.335,0.023709692224604843,0.367094137707543,0,42.0,0.2889999999999999,0.043297465779303324,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.383,0.013932319890220576,0.367094137707543,2,inns2_consensus4,yes,model4,fine-tuned
BLA,ens_p27a,p27a_sc_cyc_inns_02_cFOS_staple_5.0025.h5,5,norm_cfos_per_area,0.9999999999999998,1.8759712471548788,1.3418006805685068,1.0010163288780651,1.9123285780623513,1.231461766985993,0.250639578873017,0.1848740782810612,0.5172983686650333,False,15.895384615384629,0.6316083916083922,0.0003534769401568032,1,0.18143020668672633,0.666,5.78669146920333e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.815,5.250192026968885e-08,0.2789930525945598,2,14.0,0.121,0.19844930359201252,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.192,0.10203618198522536,0.367094137707543,0,44.0,0.36099999999999993,0.02346497828868561,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.408,0.010328203414702159,0.367094137707543,2,inns2_consensus4,yes,model5,fine-tuned
BLA,ens_p27b,ens_p27b,e,norm_cfos_per_area,1.0,2.057206384810095,1.5144527674333976,1.0291624003393718,2.099748992513972,1.5176192949329983,0.2956250415383649,0.2502979344807588,0.49786303899231926,True,16.57476923076925,0.6624895104895113,0.000251671821355804,1,0.18143020668672633,0.705,1.4876786648130515e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.805,8.179417092752583e-08,0.2789930525945598,2,8.0,0.2889999999999999,0.043297465779303324,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.332,0.024666834892025105,0.367094137707543,0,42.0,0.2889999999999999,0.043297465779303324,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.387,0.013273055888391557,0.367094137707543,2,inns2_consensus5,yes,ensemble,fine-tuned
BLA,ens_p27b,p27b_sc_cyc_inns_02_cFOS_staple_1.0027.h5,1,norm_cfos_per_area,1.0000000000000002,1.6918419803702556,1.359738106827756,1.0475897097076723,1.7582772343777728,1.5313612402941048,0.3076090208550075,0.1995464644959092,0.4339780030762073,True,14.929846153846157,0.5877202797202798,0.0005728291364391304,1,0.18143020668672633,0.549,0.0001554201722555785,1,0.2384041903808527,1.0,0.6859999999999999,0.00024612812790522973,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.664,1.2064532786022347e-05,0.2789930525945598,2,9.0,0.25599999999999995,0.05764939242959465,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.212,0.0842801680696103,0.367094137707543,0,38.0,0.16899999999999996,0.12578642463894,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.249,0.05856604419275737,0.367094137707543,0,inns2_consensus5,yes,model1,fine-tuned
BLA,ens_p27b,p27b_sc_cyc_inns_02_cFOS_staple_2.0022.h5,2,norm_cfos_per_area,0.9999999999999997,2.0458781680128197,1.3699448439074984,1.0071767086845291,2.0435993029938677,1.2482742667700055,0.3014946605324686,0.2769348409685478,0.512036063698554,True,16.06707692307694,0.6394125874125881,0.0003243983047498963,1,0.18143020668672633,0.685,3.02012971975751e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.784,2.1302784678182403e-07,0.2789930525945598,2,13.0,0.14399999999999993,0.15899590887730153,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.196,0.09804566789983947,0.367094137707543,0,44.0,0.36099999999999993,0.02346497828868561,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.467,0.004983432767654691,0.367094137707543,2,inns2_consensus5,yes,model2,fine-tuned
BLA,ens_p27b,p27b_sc_cyc_inns_02_cFOS_staple_3.0004.h5,3,norm_cfos_per_area,0.9999999999999998,2.094684492307906,1.616830874464401,0.9912864340074111,2.060291811105237,1.7818865272291746,0.22106646670739882,0.32242475438937185,0.569084492322411,False,14.929846153846157,0.5877202797202798,0.0005728291364391304,1,0.18143020668672633,0.692,2.335912557669168e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.813,5.605535318356566e-08,0.2789930525945598,2,10.0,0.22499999999999992,0.07575268761638222,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.422,0.008737145148082801,0.367094137707543,3,37.0,0.14399999999999993,0.15899590887730153,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.254,0.05521123604929266,0.367094137707543,0,inns2_consensus5,yes,model3,fine-tuned
BLA,ens_p27b,p27b_sc_cyc_inns_02_cFOS_staple_4.0027.h5,4,norm_cfos_per_area,1.0000000000000002,1.8855375385095243,1.4636224561160727,1.0690882243422624,1.9078445227126974,1.5299281825431057,0.27258932683446546,0.21426732646591334,0.43503822236819206,True,16.33292307692308,0.6514965034965037,0.00028402123869511323,1,0.18143020668672633,0.681,3.502320823883705e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.784,2.1392512082333227e-07,0.2789930525945598,2,8.0,0.2889999999999999,0.043297465779303324,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.334,0.023922482936991646,0.367094137707543,0,41.0,0.25599999999999995,0.05764939242959465,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.336,0.023406841026290606,0.367094137707543,0,inns2_consensus5,yes,model4,fine-tuned
BLA,ens_p27b,p27b_sc_cyc_inns_02_cFOS_staple_5.0007.h5,5,norm_cfos_per_area,1.0,1.8167424047465328,1.5080828968790092,0.9967768700482245,1.804968512338111,1.5868815963969132,0.2822601641653837,0.311912030707237,0.5229827401019402,True,13.63015384615386,0.5286433566433573,0.0010971087999444963,1,0.18143020668672633,0.557,0.00012964872033110336,1,0.2384041903808527,2.0,0.6582857142857143,0.00032983852077799353,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.677,8.476393137614265e-06,0.2789930525945598,2,10.0,0.22499999999999992,0.07575268761638222,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.322,0.027336400698870188,0.367094137707543,0,35.0,0.09999999999999996,0.24462360512698333,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.139,0.17136851507874235,0.367094137707543,0,inns2_consensus5,yes,model5,fine-tuned
BLA,ens_p27c,ens_p27c,e,norm_cfos_per_area,1.0,2.031664435698736,1.5253490447395073,1.011785699886052,2.017995604046896,1.7717444605670571,0.2921416274984199,0.27340475553928106,0.5161108376239123,True,15.845538461538467,0.6293426573426576,0.0003623973737062171,1,0.18143020668672633,0.68,3.623088115430988e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.787,1.8674161285902848e-07,0.2789930525945598,2,10.0,0.22499999999999992,0.07575268761638222,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.334,0.024014060176226794,0.367094137707543,0,41.0,0.25599999999999995,0.05764939242959465,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.33,0.025219735788545316,0.367094137707543,0,inns2_consensus6,yes,ensemble,fine-tuned
BLA,ens_p27c,p27c_sc_cyc_inns_02_cFOS_staple_1.0024.h5,1,norm_cfos_per_area,1.0000000000000002,1.960144005861443,1.3375952423282844,1.011207925899233,2.030200365365925,1.1683156206712448,0.30356189782593107,0.28117552952658575,0.48341393885200173,True,15.895384615384629,0.6316083916083922,0.0003534769401568032,1,0.18143020668672633,0.655,8.363196715212488e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.749,8.199400769070053e-07,0.2789930525945598,2,14.0,0.121,0.19844930359201252,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.177,0.11816812540839182,0.367094137707543,0,44.0,0.36099999999999993,0.02346497828868561,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.44,0.007048946846566875,0.367094137707543,2,inns2_consensus6,yes,model1,fine-tuned
BLA,ens_p27c,p27c_sc_cyc_inns_02_cFOS_staple_2.0023.h5,2,norm_cfos_per_area,1.0,1.715862447052651,1.4362916625923534,0.9835791406193091,1.77639483519695,1.5831433339402314,0.3368665078076626,0.22083958111431626,0.3653100920791446,False,13.812923076923084,0.5369510489510493,0.001001294577763882,1,0.18143020668672633,0.565,0.00010632328150499658,1,0.2384041903808527,3.0,0.6311428571428572,0.00043963875262656454,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.637,2.4766584217565607e-05,0.2789930525945598,2,9.0,0.25599999999999995,0.05764939242959465,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.29,0.038439500661669054,0.367094137707543,0,37.0,0.14399999999999993,0.15899590887730153,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.211,0.08476511438205078,0.367094137707543,0,inns2_consensus6,yes,model2,fine-tuned
BLA,ens_p27c,p27c_sc_cyc_inns_02_cFOS_staple_3.0005.h5,3,norm_cfos_per_area,0.9999999999999998,2.0308300416496206,1.4706266001694115,1.0184115653964003,2.0624471134269178,1.6543689019988659,0.1750699317473657,0.22670550439600134,0.43028390348428747,False,17.652923076923088,0.711496503496504,0.0001467967562435541,1,0.18143020668672633,0.783,5.1516839030943486e-08,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.878,1.1788714139511086e-09,0.2789930525945598,2,8.0,0.2889999999999999,0.043297465779303324,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.421,0.008898803238685124,0.367094137707543,3,46.0,0.44099999999999984,0.012048283642041375,0.38207595212927087,0.5743597281356938,0.8582087797079487,2,0.465,0.005101493639555743,0.367094137707543,2,inns2_consensus6,yes,model3,fine-tuned
BLA,ens_p27c,p27c_sc_cyc_inns_02_cFOS_staple_4.0005.h5,4,norm_cfos_per_area,1.0,1.8872099347186542,1.5745075220949052,1.0468612752473443,1.8383117570718024,1.7805161746123763,0.21467631033905774,0.3133883459769052,0.4640376522549665,True,14.654769230769247,0.5752167832167839,0.0006572904082949263,1,0.18143020668672633,0.65,9.779568484029696e-06,1,0.2384041903808527,0.0,0.7142857142857143,0.00018267179110955002,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.752,7.499172530517091e-07,0.2789930525945598,2,8.0,0.2889999999999999,0.043297465779303324,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.463,0.0052424183225517115,0.367094137707543,3,32.0,0.049,0.4259831165449188,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.157,0.1431958050873886,0.367094137707543,0,inns2_consensus6,yes,model4,fine-tuned
BLA,ens_p27c,p27c_sc_cyc_inns_02_cFOS_staple_5.0008.h5,5,norm_cfos_per_area,1.0,1.8594529657744476,1.453963135302638,1.0030884244374083,1.7636746066537992,1.6322110014961588,0.26116959803304696,0.37957897511798355,0.5054458448442584,True,14.006769230769237,0.5457622377622381,0.0009088008130244475,1,0.18143020668672633,0.558,0.0001271492918970639,1,0.2384041903808527,1.0,0.6859999999999999,0.00024612812790522973,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.659,1.3876978942765654e-05,0.2789930525945598,2,11.0,0.196,0.09824834872949126,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.296,0.03612235249551615,0.367094137707543,0,36.0,0.121,0.19844930359201252,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.191,0.10313932176564443,0.367094137707543,0,inns2_consensus6,yes,model5,fine-tuned
BLA,ens_x0,ens_x0,e,norm_cfos_per_area,0.9999999999999998,1.910395221571385,1.4342607872271167,1.0492259672145092,1.89028440963917,1.6459819147168704,0.3155392274590098,0.5356778910308306,0.5898657443640339,True,10.775529049634478,0.3988876840742945,0.004572182921297382,1,0.18143020668672633,0.46,0.0011426916953981962,1,0.2384041903808527,7.5,0.5160714285714285,0.0014927163774879203,0.28655696409695314,0.43076979610177035,0.6436565847809615,2,0.544,0.00020775125204755077,0.2789930525945598,2,14.0,0.121,0.19844930359201252,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.216,0.08126948231578099,0.367094137707543,0,37.0,0.14399999999999993,0.15899590887730153,0.38207595212927087,0.5743597281356938,0.8582087797079487,0,0.16,0.1399158249576166,0.367094137707543,0,wue1_consensus1,no,ensemble,frozen
