Unnamed: 0,subarea,ens,unet,fold,Experiment,Nummer,mean,count,Neun_Area,Kondition,Group,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
550,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1376,0.1583937497369185,38,83941,+,2,0.000452698919479158,0.00016593607164045978,0.13553185976718182,2.728152565043474,1.1686827732535294
551,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1380,0.2314468084539201,83,80659,+,2,0.0010290234195812,0.00016593607164045978,0.13553185976718182,6.2013244583180525,1.7076930018631935
552,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1384,0.17756542479416118,57,86483,+,2,0.0006590890695281152,0.00016593607164045978,0.13553185976718182,3.971945719892596,1.3101378900812333
553,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1417,0.12117277939197175,18,103482,H,0,0.00017394329448599757,0.00016593607164045978,0.13553185976718182,1.0482548656622857,0.8940538379693435
554,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1421,0.12724139972021825,18,96857,H,0,0.00018584098206634523,0.00016593607164045978,0.13553185976718182,1.119955295006707,0.9388301757151049
555,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1426,0.11370767486741006,13,88777,H,0,0.00014643432420559382,0.00016593607164045978,0.13553185976718182,0.8824743333859247,0.8389737664836769
556,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1433,0.1216472115315544,16,89160,H,0,0.00017945266935845669,0.00016593607164045978,0.13553185976718182,1.081456657279943,0.8975543591043564
557,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1444,0.1634862680808037,22,97557,H,0,0.00022550918949947206,0.00016593607164045978,0.13553185976718182,1.3590124634750411,1.2062570997080853
558,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1449,0.11630178300285643,7,118432,H,0,5.910564712239935e-05,0.00016593607164045978,0.13553185976718182,0.3561952897768117,0.8581139755821321
559,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1453,0.11651205936920217,3,125994,H,0,2.3810657650364302e-05,0.00016593607164045978,0.13553185976718182,0.14349295734778988,0.8596654658863823
560,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1458,0.15655612723156082,14,103663,H,0,0.00013505300830576002,0.00016593607164045978,0.13553185976718182,0.8138857752302627,1.1551241715453084
561,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1465,0.13372376770464486,7,99295,H,0,7.049700387733522e-05,0.00016593607164045978,0.13553185976718182,0.4248443583145915,0.9866592839082788
562,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1470,0.13501535101072504,8,99487,H,0,8.04125162081478e-05,0.00016593607164045978,0.13553185976718182,0.4845993725968201,0.9961890233237848
563,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1474,0.16392822041001234,17,107756,H,0,0.00015776383681651138,0.00016593607164045978,0.13553185976718182,0.95075070330907,1.2095179737931
564,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1571,0.12140298643257265,16,108586,H,0,0.00014734864531339216,0.00016593607164045978,0.13553185976718182,0.8879844138570321,0.8957523835437667
565,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1575,0.1277714109644489,22,120426,H,0,0.0001826848022852208,0.00016593607164045978,0.13553185976718182,1.1009348388158249,0.9427407783227952
566,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1581,0.13738524804031285,34,99607,H,0,0.00034134147198490065,0.00016593607164045978,0.13553185976718182,2.057066125589008,1.013674926886673
567,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1588,0.1309963699318095,22,92389,H,0,0.00023812358614120732,0.00016593607164045978,0.13553185976718182,1.4350320806506682,0.9665356186865328
568,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1593,0.16410656433137838,27,99630,H,0,0.00027100271002710027,0.00016593607164045978,0.13553185976718182,1.633175399103653,1.2108338556947609
569,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1599,0.15308639402060842,19,93786,H,0,0.00020258887253961144,0.00016593607164045978,0.13553185976718182,1.2208850705985659,1.1295233038459147
570,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1603,0.16397367654838707,94,117182,-,1,0.0008021709818914168,0.00016593607164045978,0.13553185976718182,4.834217020814571,1.2098533645894252
571,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1606,0.15734887674524556,112,121641,-,1,0.0009207421839675767,0.00016593607164045978,0.13553185976718182,5.548776555121691,1.1609733461603882
572,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1611,0.17509302772612234,97,96524,-,1,0.0010049314160208858,0.00016593607164045978,0.13553185976718182,6.056135993133008,1.2918957064921797
573,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1618,0.1822670160289412,108,91220,-,1,0.0011839508879631661,0.00016593607164045978,0.13553185976718182,7.134982022043277,1.3448278238197393
574,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1625,0.20115001286522471,121,98492,-,1,0.0012285261747146975,0.00016593607164045978,0.13553185976718182,7.403611297829165,1.484152974885481
575,CA1,ens_dennis,sc_cyc0_cFOS_dennis_3.0008.h5,fold_3,4,1632,0.1898028064844135,93,85304,-,1,0.001090218512613711,0.00016593607164045978,0.13553185976718182,6.570111620913448,1.4004294400627195
