subarea,ens,unet,fold,type,grp_mean_1,grp_mean_2,grp_median_1,grp_median_2,grp_std_1,grp_std_2,anova_ok,U_mwu1_vs_2,eta^2_mwu1_vs_2,p_mwu1_vs_2,c_mwu1_vs_2,c0.01_mwu1_vs_2,c0.001_mwu1_vs_2,mwu1_vs_2,eta^2_aov1_vs_2,p_aov1_vs_2,c_aov1_vs_2,aov1_vs_2,ens_clean,valid,models_clean,initialization
BLA,ens_x0,sc_cyca_cFOS_staple_2.0012.h5,2,norm_cfos_per_area,1.0,2.130990495099478,0.8404837487317819,1.7115190857707239,0.8603235737340647,1.027267855286334,True,18.0,0.2925714285714285,0.017257456083119765,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.284,0.01564201099324252,0.19692595459182813,2,wue1_consensus1,no,model2,frozen
BLA,ens_x0,sc_cyca_cFOS_staple_3.0008.h5,3,norm_cfos_per_area,1.0000000000000002,1.862972916740766,0.5775819239972737,1.5464208337975074,0.9832417078676,0.9189367328858863,True,23.0,0.20828571428571435,0.04515456962427901,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.186,0.05765378042422408,0.19692595459182813,0,wue1_consensus1,no,model3,frozen
BLA,ens_x0,sc_cyca_cFOS_staple_4.0010.h5,4,norm_cfos_per_area,1.0,2.43222584370469,0.637640994864956,2.1834791742251376,0.9362691026650692,0.9096229073506313,True,15.0,0.35,0.009082426667640772,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.401,0.0027354133893459447,0.19692595459182813,2,wue1_consensus1,no,model4,frozen
BLA,ens_x0c,ens_x0c,e,norm_cfos_per_area,1.0,2.1226855976829415,0.6976796535560408,1.6723568722018776,0.9714471394432562,1.1848664767850545,True,19.0,0.2745714285714285,0.0211339281291611,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.23,0.032482945774421755,0.19692595459182813,2,wue1_consensus2,no,ensemble,frozen
BLA,ens_x0c,sc_cycc3_cFOS_staple_1.0012.h5,1,norm_cfos_per_area,1.0,1.7932827913714386,0.5745750896912807,1.4416235275780083,1.178431328978292,1.0654584641784253,False,21.0,0.2402857142857143,0.031209012771740218,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.122,0.13174015166616543,0.19692595459182813,0,wue1_consensus2,no,model1,frozen
BLA,ens_x0c,sc_cycc3_cFOS_staple_2.0012.h5,2,norm_cfos_per_area,1.0,2.0740101954955943,0.6276570985112822,1.5938414978033801,0.9838714097170165,1.2415359055280963,True,20.0,0.2571428571428572,0.025748080821108063,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.203,0.04593929260757021,0.19692595459182813,2,wue1_consensus2,no,model2,frozen
BLA,ens_x0c,sc_cycc3_cFOS_staple_3.0009.h5,3,norm_cfos_per_area,0.9999999999999998,1.5718974346565329,0.7365128897044219,1.2830630308655135,1.0819342446698743,0.9195584464095515,False,24.0,0.19314285714285714,0.053902557169387175,0.1920729410347062,0.3317448300510607,0.5413783085331366,0,0.083,0.21898457226170023,0.19692595459182813,0,wue1_consensus2,no,model3,frozen
BLA,ens_x0c,sc_cycc3_cFOS_staple_4.0012.h5,4,norm_cfos_per_area,1.0000000000000002,2.6578768072687677,0.6469438580642188,2.2564064589174158,0.9501941395852522,1.3424081393788734,True,13.0,0.3911428571428571,0.00579535854433471,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.361,0.00509871612578881,0.19692595459182813,2,wue1_consensus2,no,model4,frozen
BLA,ens_x0d,ens_x0d,e,norm_cfos_per_area,1.0,2.303602494876039,0.6170340421902439,2.012444859973805,0.915738910821684,0.9503356358633206,True,17.0,0.3111428571428572,0.014019277113959953,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.352,0.005868122338378936,0.19692595459182813,2,wue1_consensus3,no,ensemble,frozen
BLA,ens_x0d,sc_cycd4_cFOS_staple_1.0011.h5,1,norm_cfos_per_area,1.0000000000000002,2.264948024831229,0.6123232817024564,1.9382593888005637,0.9420757202535683,0.9188806912732003,True,16.0,0.33028571428571435,0.011329696684474665,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.339,0.007050398421191241,0.19692595459182813,2,wue1_consensus3,no,model1,frozen
BLA,ens_x0d,sc_cycd4_cFOS_staple_2.0012.h5,2,norm_cfos_per_area,1.0000000000000002,2.4318119907543716,0.5689047410477738,2.0480074594363185,0.9261644354351255,1.1822339909613793,True,17.0,0.3111428571428572,0.014019277113959953,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.336,0.0074407517817053175,0.19692595459182813,2,wue1_consensus3,no,model2,frozen
BLA,ens_x0d,sc_cycd4_cFOS_staple_3.0011.h5,3,norm_cfos_per_area,1.0,2.5462322104727972,0.750235172752022,2.211412868698319,0.8945037996207214,1.0070157383068588,True,15.0,0.35,0.009108496398030965,0.1920729410347062,0.3317448300510607,0.5413783085331366,2,0.423,0.0019141778661006823,0.19692595459182813,2,wue1_consensus3,no,model3,frozen
BLA,ens_x0d,sc_cycd4_cFOS_staple_4.0011.h5,4,norm_cfos_per_area,1.0,1.5747026990956379,0.6989195115465874,1.263785866975899,1.0115133263289833,0.8330559139982701,False,25.0,0.17857142857142858,0.06402210128302689,0.1920729410347062,0.3317448300510607,0.5413783085331366,0,0.097,0.18241356220442942,0.19692595459182813,0,wue1_consensus3,no,model4,frozen
