ens,unet,fold,Nummer,mean,count,Neun_Area,Kondition,Group,Area,cfos_per_area,cfos_per_area_ctrl,mean_ctrl,norm_cfos_per_area,norm_mean_intensity
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1072,0.06824256936975873,5,324940,Ctrl,0,BLA,1.5387456145749983e-05,4.8057938775352306e-05,0.06862630599438226,0.32018552060001826,0.9944083158919418
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1073,0.11396208482150909,46,331454,Ext,1,BLA,0.0001387824554840189,4.8057938775352306e-05,0.06862630599438226,2.8878153957613533,1.660618084715765
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1074,0.11566691184341053,79,504434,Ext,1,BLA,0.00015661117212559028,4.8057938775352306e-05,0.06862630599438226,3.258799193566582,1.685460264361002
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1075,0.1695040683115019,49,419427,Ext,1,BLA,0.00011682605077880061,4.8057938775352306e-05,0.06862630599438226,2.43094177061788,2.469957632942934
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1076,0.15842252193428216,61,429324,Ext,1,BLA,0.00014208383412061754,4.8057938775352306e-05,0.06862630599438226,2.956511197552416,2.308480977356564
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1077,0.0943658311721407,33,303620,Ext,1,BLA,0.00010868849219419011,4.8057938775352306e-05,0.06862630599438226,2.261613688890329,1.3750679102539116
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1078,0.07810407911654044,24,230698,Ext,1,BLA,0.0001040321112450043,4.8057938775352306e-05,0.06862630599438226,2.1647227054681695,1.1381069982541976
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1079,0.09941424198300614,51,350210,Ext,1,BLA,0.00014562690956854458,4.8057938775352306e-05,0.06862630599438226,3.0302362789482125,1.4486316951278737
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1080,0.10937308360236293,139,503389,Ext,1,BLA,0.00027612840169332264,4.8057938775352306e-05,0.06862630599438226,5.745739595368203,1.5937486655819155
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1081,0.10205826339335401,18,314380,Ext,1,BLA,5.725555060754501e-05,4.8057938775352306e-05,0.06862630599438226,1.191385899324295,1.4871595070512538
ens_a1,f27o_sc_cyc_inns_01_cFOS_staple_4.0018.h5,fold_4,1082,0.11219325240492652,16,197036,Ext,1,BLA,8.12034349052965e-05,4.8057938775352306e-05,0.06862630599438226,1.6896986632090778,1.6348432394730767
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1063,0.0366291197329996,1,409334,Ctrl,0,BLA,2.4429927638554337e-06,3.611011778114745e-05,0.06211447651345009,0.06765396830499631,0.5897034280739376
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1064,0.03522408963585435,1,260641,Ctrl,0,BLA,3.836694917530243e-06,3.611011778114745e-05,0.06211447651345009,0.10624985885627113,0.567083417795963
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1065,0.03978603962601016,12,404056,Ctrl,0,BLA,2.9698853624250105e-05,3.611011778114745e-05,0.06211447651345009,0.8224524163628021,0.6405276492573355
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1066,0.037774948750692254,26,350413,Ctrl,0,BLA,7.419816045637576e-05,3.611011778114745e-05,0.06211447651345009,2.054774811482712,0.6081504807098
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1067,0.07660557389134139,16,308418,Ctrl,0,BLA,5.187764657056332e-05,3.611011778114745e-05,0.06211447651345009,1.4366512700118597,1.2332966192631993
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1068,0.10517282024150561,46,423011,Ctrl,0,BLA,0.00010874421705345724,3.611011778114745e-05,0.06211447651345009,3.0114611564693083,1.6932094761956464
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1069,0.0754641723834066,10,433601,Ctrl,0,BLA,2.3062677438474543e-05,3.611011778114745e-05,0.06211447651345009,0.6386763282870049,1.2149208464642827
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1070,0.0981253738870592,11,411937,Ctrl,0,BLA,2.6703112369124403e-05,3.611011778114745e-05,0.06211447651345009,0.7394911456939556,1.5797504767799406
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1071,0.0539886000166657,4,311541,Ctrl,0,BLA,1.28394015554935e-05,3.611011778114745e-05,0.06211447651345009,0.35556243912881275,0.8691790231054296
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1072,0.06237402696896609,9,324940,Ctrl,0,BLA,2.769742106234997e-05,3.611011778114745e-05,0.06211447651345009,0.7670266054022781,1.004178582354466
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1073,0.16501604329607564,25,331454,Ext,1,BLA,7.542524754566244e-05,3.611011778114745e-05,0.06211447651345009,2.088756619482444,2.656643870456568
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1074,0.13914154442754936,66,504434,Ext,1,BLA,0.0001308397134213792,3.611011778114745e-05,0.06211447651345009,3.623353272187017,2.240082380754188
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1075,0.14115892865355453,90,419427,Ext,1,BLA,0.00021457846061412355,3.611011778114745e-05,0.06211447651345009,5.942336214869721,2.272560867883808
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1076,0.18390114353046932,32,429324,Ext,1,BLA,7.453578183376657e-05,3.611011778114745e-05,0.06211447651345009,2.0641245837387046,2.9606808887884277
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1077,0.10244309146846763,29,303620,Ext,1,BLA,9.551412950398525e-05,3.611011778114745e-05,0.06211447651345009,2.6450794229713575,1.6492627358178715
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1078,0.08596457941757987,21,230698,Ext,1,BLA,9.102809733937875e-05,3.611011778114745e-05,0.06211447651345009,2.5208474226274378,1.3839701184467899
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1079,0.13307185859157325,25,350210,Ext,1,BLA,7.138573998458069e-05,3.611011778114745e-05,0.06211447651345009,1.976890256000497,2.1423646476801306
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1080,0.1286188292209639,108,503389,Ext,1,BLA,0.00021454580850991975,3.611011778114745e-05,0.06211447651345009,5.94143197787992,2.0706739626649378
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1081,0.09607372965988155,21,314380,Ext,1,BLA,6.679814237546918e-05,3.611011778114745e-05,0.06211447651345009,1.8498455967469452,1.5467204273882598
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_1.0023.h5,fold_1,1082,0.10710936338071672,17,197036,Ext,1,BLA,8.627864958687752e-05,3.611011778114745e-05,0.06211447651345009,2.3893206361105337,1.7243864778852893
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1063,0.035728609625668456,4,409334,Ctrl,0,BLA,9.771971055421735e-06,5.364084182426725e-05,0.058467644982298644,0.18217408085122316,0.611083440020296
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1064,,0,260641,Ctrl,0,BLA,0.0,5.364084182426725e-05,0.058467644982298644,0.0,
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1065,0.02937178815341752,22,404056,Ctrl,0,BLA,5.444789831112519e-05,5.364084182426725e-05,0.058467644982298644,1.015045559678238,0.502359692481371
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1066,0.03476699028854544,31,350413,Ctrl,0,BLA,8.846703746721725e-05,5.364084182426725e-05,0.058467644982298644,1.649247745906824,0.5946364061537165
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1067,0.07856144252325448,9,308418,Ctrl,0,BLA,2.918117619594187e-05,5.364084182426725e-05,0.058467644982298644,0.5440104070615133,1.3436737967988845
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1068,0.10192427901730243,40,423011,Ctrl,0,BLA,9.456018874213672e-05,5.364084182426725e-05,0.058467644982298644,1.7628393874191113,1.7432595249588125
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1069,0.06392731469319478,64,433601,Ctrl,0,BLA,0.00014760113560623707,5.364084182426725e-05,0.058467644982298644,2.7516558388437136,1.0933793333483686
ens_a1,fs36_sc_cyc_inns_01_cFOS_staple_2.0019.h5,fold_2,1070,0.07455797217431234,14,411937,Ctrl,0,BLA,3.398577937888561e-05,5.364084182426725e-05,0.058467644982298644,0.6335802762049562,1.2752005352171294
